مرأ , مرأني
عبأ , عبء
أبب , وأبا
ضبب , ضبابها
وطأ , طأة
هوأ , هاؤمن
ذبب , ذاب
صبب , اصطب
درأ , ودرأة
ضبب , وضبان
جزأ , مجزىء
جبأ , والجبء
أشب , آشبه
روب , وروبه
برأ , وبروءا
خبب , والخبة
ضبب , ضباب
درأ , والدرء
كفأ , مكفوء
أشب , تأشبوا
خيب , الدأب
أرب , آراب
أوب , والإئتياب
لبأ , استلباء
برأ , برءا
وضأ , ووضأ
سيب , فانساب
قرأ , قرأت
ربب , الربابة
شيب , أشيب
سبب , السباب
فيأ , والفيئة
شبب , الشبابية
جبأ , الجبأة
وضأ , وضوء
قرأ , أقرأ
خبب , تختب
عيب , ومعاب
سبب , المستبان
روب , الرائب
سيب , وساب
شيأ , وشئت
شيب , والأشيب
حبب , محب
فيأ , أفياء
هوأ , هاؤوا
بدأ , كأبدأه
ثوب , يثيبه
سوأ , ومساءة
جوب , يجوب
ذأب , وذأبته
بوأ , فباءوا
أرب , والمأربة
درأ , تدارءوا
وبأ , وبئة
فيأ , المفيئة
بأبأ , والبأباء
عبب , عبيبة
عبأ , عباءة
كلأ , أكلأ
شنأ , ومشنأ
هوأ , هاؤما
دفأ , دفآن
فيأ , تفيأت
قرأ , القراء
بدأ , بدي
حشب , الحشيب
صبب , الصبة
وطأ , وطاءة
عيب , وعابا
ثوب , وأثبته
لبأ , لبأ
خبب , مخبين
نشأ , ونشاء
رفأ , كرافأه
نبأ , أنبؤك
نسأ , ونسأ
ذبب , والذب
حبب , والاستحباب
حوب , حيبة
كفأ , أكافئه
عبأ , عبأ
لبأ , كلبأته
عبب , عباب
سيب , وسيبت
روب , روعيبة
نسأ , أنسئنا
ذرب , مذروبة
أبب , وإبابة
طيب , كاستطيبه
دفأ , يدفئها
نسأ , ينتسئونه
صبب , تصبب
ذوب , والذوبان
رفأ , مرافأة
ربب , والربوبية
ذأب , مذؤوب
هوأ , وهؤت
فيأ , فيأ
أبب , وأبابا
خطأ , الخطأ
وبأ , وبيئا
وبأ , للوباء
ذرب , مذرب
عيب , والمعابة
جبب , أجب
عبب , تعب
شنأ , مشنوء
ذبب , ذبابة
درأ , ودرأه
كلأ , كلئت
شوب , يشوب
عبب , بعبابهم
خيب , خيبه
خبب , واختب
وطأ , وطئه
سوأ , وسواية
زبب , الأزب
وبأ , أوبأنا
حلأ , وحلأه
فيأ , الفيء
جيأ , لجياء
عبأ , وعبأت
أدب , آدب
صوب , صيبا
صعب , صعبب
شبب , وشبوبا
خيب , وأدأبه
سبب , مسابة
أوب , والأوب
ملأ , تملؤا
جوب , أجاب
حلأ , حلئ
حلأ , كأحلأه
بدأ , البديئة
خبب , وخبب
سبب , سبة
حبب , حببته
وبأ , وبئت
صبب , صبابه
حلأ , والحلوء
أشب , تأشيبا
هنأ , هنيء
شوب , وشبته
سوأ , السوأة
نشأ , ونشوءا
جبأ , الجباء
جبأ , مجبأة
بدأ , البدء
نوأ , ويستنئي
نوأ , تستنيء
خبب , تخبون
صبب , كالصب
بوأ , أبأت
شيأ , أشياء
هدأ , وهدأة
صبب , صبتي
ذأب , ذؤبان
هدأ , هدئه
عبأ , والأعباء
هنأ , يهنؤ
بوب , وأبوبة
ذبب , كذببت
شنأ , شناء
نوأ , تنيئها
جوب , ومجوب
خيب , دأبت
ظمأ , ظمأ
نوأ , نيء
وطأ , وأوطأت
كلأ , يكلاكم
وطأ , الطأة
مرأ , أمرئة
أوب , أووب
ذوب , والذيبان
جزأ , كاجتزأ
ملأ , تملئة
أدب , كالأدبة
جزأ , تجزيء
مرأ , ومرئني
ثوب , الثواب
ربب , ربة
صبب , وصببت
جبأ , الجبء
ذوب , ذوبت
صبب , صبب
هنأ , المهانىء
شنأ , شنائية
جيأ , جئت
رفأ , أرفيت
بدأ , والبديئة
عبب , والعبعب
ملأ , امتلأ
جوب , جيب
شيأ , أشياوات
جبأ , وأجبأ
طفشأ , الطفنشأ
ثوب , ثبة
شنأ , يتشنى
سوأ , وسواء
رفأ , رفاء
ذأب , ذؤب
شنأ , شنئت
درأ , وتدرءوا
جبأ , جبأت
وضأ , توضأ
دبب , أدب
جيأ , جاء
هدأ , هدء
ربأ , ربأهم
قرأ , لتقارىء
أشب , والتأشيب
روب , ليروب
رفأ , ورفأه
قرأ , وقارئين
هدأ , والأهدأ
فيأ , والاستفاءة
هدأ , وهدىء
بوأ , وبؤته
أدب , المأدبة
أرب , مأربة
ردأ , وردؤ
مرأ , مريء
جبأ , جبأ
نوأ , تنوء
ذرب , والذرب
شيأ , والمشيأ
شنأ , أشنؤه
نبأ , والأنبياء
برأ , برىء
سيب , سابت
وطأ , ووطوءة
جيأ , لجايأت
لبأ , ولبأ
درأ , تدرأ
أوب , والإياب
شيب , الأشيب
شوب , وانشاب
جيأ , يجيك
بوأ , بوءا
ضبب , وضب
ربب , ربه
أشب , الأشب
حوب , حاب
قرأ , قرأ
حلأ , وأحلأه
ملأ , ملا
أشب , كائتشبوا
هنأ , وهنئت
طبب , بطبي
جبب , جباب
لبأ , ولبأها
أبب , وأبابته
ربب , الربان
درأ , الدرية
حبب , والمحبة
أدب , يؤدب
ملأ , تملأ
خيب , ودؤوبا
حلأ , أحلأت
سوأ , السيئتين
وطأ , وطؤت
حبب , حب
حوب , الحوبة
ربب , ربابتي
فيأ , تفيء
بدأ , والبديء
هدأ , وهدوء
جيأ , وجائيء
جوب , واجتبتها
شوب , مشيب
ملأ , وملأة
طيب , طابا
قرأ , المقرىء
طيب , والطيب
عبب , تعببتها
شوب , كالشياب
ذأب , تذاءب
ملأ , ملؤ
وبأ , واستوبأت
نشأ , تنشأ
عبب , وعنبب
ثوب , وثوبه
ربب , ربوبي
صبب , صبا
سبب , وسبونى
ملأ , إملاء
فيأ , واستفاء
نبأ , أنبأك
سوأ , سؤته
بوأ , واستبأته
خطأ , بالخاطئة
كلأ , وكالأه
ثوب , مثوبته
بوأ , كأباءه
أرب , آرابه
طبب , والطبة
عبب , عبا
شبب , شب
ظمأ , وظام
نشأ , ونشىء
جبب , جبا
شيب , المشيب
أدب , الأدب
فيأ , وأفاءه
وضأ , أوضياء
فيأ , كالفيئة
خيب , دأبي
طيب , كالطيبة
عيب , العيبة
ذأب , ذأب
جبب , مجبوب
طيب , والطاب
أرب , الأربة
شوب , أشوبه
خبب , والخبب
حوب , حوبتي
بدأ , بدء
أرب , ومأرب
نشأ , فالنشأ
ذأب , والذئبان
سيب , سيوب
جبب , أجباب
ربب , الربوبية
ربب , ربي
صبب , صبة
هدأ , أهدأه
رفأ , برفء
سوأ , وأساءه
دبب , دبة
طبب , والطبيبة
ذأب , وذئبان
حوب , حيابا
شنأ , المشنإ
أدب , آدبت
ذرب , بالذربة
بوأ , باءت
زبب , أزبه
جزأ , وأجزأت
زبب , زبت
بوب , وبوبة
فيأ , أفأت
ذرب , يذرب
ثوب , ثواب
جوب , جوبان
شوب , شاب
زبب , للزبيب
رفأ , مرفأ
سوأ , سيئة
ظمأ , ظام
قرأ , قراءة
دفأ , كالدفاءة
مرأ , يمرأ
كلأ , كالىء
عبب , عبعب
شبب , الشباب
درأ , وتدرأ
ثوب , المثوبة
حلأ , إحلاء
بوأ , وأباته
سبب , وسبيبى
أبب , أبة
بوب , بوابة
سبب , يسبه
سبب , سبه
مرأ , وأمرأني
مرأ , يمرؤ
هدأ , هدأت
جبب , وجبت
ذأب , الذئبان
جوب , والمجوب
ذوب , والذوب
دفأ , دفيئة
نوأ , ونوآن
شوب , ومشيب
لبأ , إلباء
ثوب , ومثوبة
لبأ , لبأتها
حوب , حوبات
ذبب , ذباب
وطأ , وطئت
لبأ , لبأه
ذرب , كذرب
بوب , البواب
لبأ , للبأتها
كلأ , كلأت
أشب , والأشبان
جبب , وجباب
شوب , والمشاوب
طيب , الطيبة
بدأ , البداءة
ذرب , ذربا
ضبب , ضبا
هدأ , الهدء
نوأ , والنيوأة
صوب , كالصيوب
شيأ , أشاوات
نسأ , ونسيئة
حوب , حوب
شنأ , شنأه
أرب , كالإربة
أشب , فتأشب
هدأ , هدوى
ذرب , ذربته
وطأ , وطأها
هنأ , فهناه
شنأ , وشنان
نسأ , تنسىء
عيب , وعبته
نوأ , لتنيء
هنأ , التهنئة
خيب , والدأب
جبب , مجبب
مرأ , مريئا
عبب , يعب
نسأ , ينسأ
برأ , وبرؤا
ذأب , والذؤيبان
خطأ , أخطأت
كفأ , كفأت
شيب , وشيب
صوب , وصواب
جبأ , أجبأ
رفأ , أرفأ
طبب , طباب
سوأ , والسوآء
دبب , مدبهما
عبأ , عباء
جيأ , مجيأ
روب , رائبا
بوب , والبابة
مرأ , المروءة
فيأ , فيء
مرأ , المرأة
ذرب , التذريب
بوب , بابتك
هدأ , يهدأ
عبأ , وعبأتهم
حلأ , والحلاءة
نشأ , النواشىء
سيب , السيب
شبب , وشبة
نوأ , ناء
أشب , الأشائب
قرأ , وقرآنا
عبأ , اعتبأت
قرأ , يقرئه
ملأ , مملوء
نسأ , تنسأ
جبب , والجبة
أبب , إب
جوب , وجاب
حوب , حبتم
رفأ , والمرفئن
وطأ , يوطؤ
ملأ , ملأة
قرأ , وقارأه
هوأ , هأ
سوأ , وساء
دبب , أدببت
جوب , أجوبها
عيب , عيبة
برأ , وبرأك
زبب , وزب
بدأ , كأبدأ
ردأ , ردء
عبب , العب
شبب , تشببى
بوأ , يتباءوا
أدب , الإدب
زبب , الزب
ضبب , مضبة
سيب , والسيب
بوأ , أباء
بدأ , بدأت
شيأ , شيأهم
نشأ , إنشاء
سوأ , والسيئة
ضبب , ضببة
خطأ , الخطاء
طيب , طيبى
جوب , المجيب
نشأ , النشأة
حوب , الحوحبة
ظمأ , إظماء
حوب , حوبة
شوب , شوب
دهدأ , الدهدإ
هوأ , وهائي
سيب , سائبة
خبب , أخبها
ملأ , ملان
شنأ , شنآنة
رفأ , الرفء
ردأ , مردىء
نبأ , النبآء
شيأ , ومشيئة
جوب , جيبت
حبب , والحباب
أشب , ويأشبه
خبب , بخب
أرب , مؤرب
خطأ , خاطئة
عبأ , المعبأ
هنأ , ليهنك
ذوب , والمذوب
نبأ , أنبياء
شنأ , شنآنا
خبب , أخباب
شبب , مشبوبة
نبأ , كنبأه
وطأ , يطأني
جوب , الجوبي
دفأ , الدفاء
أرب , يأرب
خيب , يدأب
هوأ , هاءا
روب , ويروب
كفأ , كفيء
روب , ورؤوبا
جبب , وجب
نوأ , المستناء
شيب , شابت
هنأ , المهنأ
سوأ , ساءته
صوب , وصيبوبة
ربأ , كأربأه
شيأ , أشاؤه
أوب , أوبه
ملأ , التملؤ
دبب , وديبوب
شيأ , لأشاوي
شبب , تشبب
ذوب , وأذابه
نسأ , نسأه
حوب , تحوبها
روب , والمروب
بوأ , أبوء
خيب , الأخيب
دفأ , ادفيت
جيأ , الجيئة
رفأ , يرفؤه
جبأ , جابىء
شنأ , شنأ
شبب , شاب
برأ , أبرياء
عيب , وعياب
مرأ , تمرأ
طبب , والمطبوب
عيب , عيبتي
نوأ , نوأه
كلأ , كاكتلأت
وبأ , وأوبأ
ذوب , أذيب
عبأ , وتعبيئا
شوب , شيابها
كفأ , وكفأته
ظمأ , أتظمأ
قرأ , قرئت
كفأ , كفاء
جبب , الجبب
جيأ , أجيئه
ذبب , مذببة
روب , رائب
صوب , صوابي
خبب , وخبوب
بدأ , والبدأة
هنأ , هنأه
كفأ , وكفوءه
زبب , والزبب
جيأ , والمجيأ
نبأ , ونابأه
جزأ , أجزأت
كلأ , كاستكلأت
جيأ , والجايئة
ذوب , يستذيبها
سيب , والسائبة
كفأ , يكافىء
ضبب , مضاب
شنأ , ومشنؤة
كلأ , ككلاءة
سبب , المسبة
صوب , الصواب
وضأ , وتوضأ
جرعب , كالجرعيب
أشب , ويأشبني
عبب , العبيبة
ذأب , وتذأب
ردأ , يردأ
ملأ , والملأة
جوب , جاب
رفأ , وترفيئا
ظمأ , تظمئة
نسأ , النسيئة
جبب , يجبه
ردأ , وأردأت
فيأ , بفيئك
كفأ , الكفاءة
بدأ , أبدأت
أوب , فآب
بوب , وبويب
وطأ , توطئة
هنأ , وهنأة
صبب , تصطبا
نبأ , وأنباء
ذرب , وذرب
نوأ , الأنواء
كلأ , كلئية
أدب , أدبته
خيب , خيبة
عبب , يعبوبا
ردأ , وترادءوا
جزأ , وجزأتها
سيب , سيبت
خبب , يخبوا
بوأ , وبؤت
ضبب , وأضبت
بدأ , بدىء
درأ , درأنا
نبأ , أنباه
جوب , جوبا
حلأ , حلوء
هوأ , هاءون
نشأ , لناشىء
صبب , الصبابة
صوب , وصوبي
أبب , وأب
برأ , البرء
جبأ , الجبأ
شنأ , وشنائية
ذوب , وذوبه
ذأب , مذيبة
جزأ , وجزوءا
خيب , تخيب
نبأ , النبيين
مرأ , فأمرأني
نسأ , نسأة
ذبب , تذبيبا
خطأ , تخطئة
كفأ , الكفء
ذبب , المذبذب
طبب , بالطب
خطأ , والخطأ
برأ , أبراء
دهدأ , دهدأ
خيب , خاب
وبأ , وأباءة
ملأ , فامتلأ
شنأ , وشنأة
دفأ , الدفء
بوب , وبيبان
سيب , لانسيابها
أرب , آرب
ذأب , تذاءبت
وضأ , ووضىء
بأبأ , البأبأة
أبب , أببت
ثوب , كالمثوبة
أبب , أبابة
ظمأ , وظمئة
ضبب , وضبت
وضأ , توضأت
أبب , استئب
خيب , دئب
شيب , والمشيب
زبب , الزبيبي
هنأ , وهنأه
حوب , وحوب
ذأب , وذئاب
سوأ , السيئة
لبأ , كلبأه
أوب , يؤوب
حبب , محبوب
درأ , واندرأ
رفأ , وأرفأتها
ردأ , وأردأه
درأ , اندرأ
ذوب , ذوبانا
ذأب , كأذأب
جيأ , فجيأها
دفأ , دفاءة
دفأ , كالدفئ
بوأ , والباءة
طبب , الطب
زبب , فتزبب
لبأ , باللبإ
طيب , فطوبى
حلأ , كحلأه
وضأ , والوضوء
وطأ , وتوطأته
طيب , الأطيب
نسأ , وأنسأ
ضبب , وضبية
خطأ , أخطأن
شوب , مشوب
ضبب , أضبت
نسأ , ناسىء
نشأ , نشأت
ذأب , والمذءوب
خيب , ودأبهم
ردأ , أردأه
سبب , السبابة
ثوب , ثويبة
سيب , سيبا
أرب , الإربة
شوب , فالشوب
سبب , كالسب
صوب , والإصابة
أرب , والأرب
ضبب , المضبة
سبب , كسببه
أشب , الأشابة
خطأ , بخطايا
نسأ , المنسوء
روب , فالروب
ظمأ , الظمإ
طيب , طيبا
طيب , طوباك
شيأ , شيء
نشأ , ونشاءة
جزأ , الجزء
بدأ , وبداء
كفأ , وكفأ
نبأ , ونابأته
ذأب , كالذئاب
شيأ , بالمشيإ
نوأ , وناءه
خطأ , خطأه
صوب , وصيب
حلأ , وحلاءة
دبب , دب
دفأ , والدفآن
جيأ , يجيء
جيأ , جيأ
خيب , وأدأب
وبأ , كأوبأ
درأ , ادرءوا
كفأ , وكفؤ
هوأ , هوأ
ذأب , ذأبه
خطأ , وتخطيئا
ثوب , إثابة
وطأ , الوطاءة
شيأ , وأشاءه
أوب , إيابهم
روب , الترويب
ذأب , أذؤب
طيب , تطيب
رفأ , وأرفأت
أوب , والتأويب
جبب , المجبب
ثرب , بالثروب
أشب , أشبته
شوب , الشوب
سبب , السبة
جبب , والجبب
كفأ , وكفيئه
دبب , مدب
مرأ , مريئة
أذرب , أذرب
سيب , سيبويه
كلأ , وكلأت
كلأ , يكلؤكم
ذبب , يذب
طأطأ , وطأطأ
هوأ , هائين
شنأ , شناءة
شيأ , شئته
أبب , أؤب
سبب , سبا
نشأ , نواشئكم
عبب , والعبية
درأ , درأ
نشأ , نشء
شبب , كالشبان
شيب , شيبا
طيب , طيبه
بوب , والبويب
ردأ , ردأت
نشأ , والناشىء
أذرب , الأذربي
خبب , خب
شبب , شابة
زبب , الزبيب
لبأ , كألبأه
ذوب , الذوبة
ذرب , الذربة
فيأ , وفيأت
أرب , إربا
ظمأ , ظماءة
رفأ , رفئوني
ملأ , وملأه
طبب , وطبيب
نبأ , أنبأته
درأ , دارئ
وبأ , وتيبأ
شيب , الشيابنة
برأ , والبرء
ربأ , وأربأتها
بوأ , وباوأه
كلأ , كلأه
أوب , أوبا
شوب , الأشواب
جزأ , جزأة
فيأ , وفيوءا
جيأ , جأجأ
شبب , يشب
أبب , يئب
جوب , والجوبة
ثوب , أثابه
دفأ , وادفأ
لبأ , لبؤهم
حلأ , حالئة
أدب , يتأدب
شيب , وتعاشيب
نشأ , وينشؤ
وطأ , طإ
ربب , الرب
درأ , دروء
دعب , والدعبب
جوب , جوبين
ربأ , مرباته
صبب , صببت
شيب , كالمشيب
طيب , طوبيك
سيب , السياب
خطأ , خطايا
عبأ , وعبيته
دبب , ومدب
بوأ , باء
خبب , خبا
ضبب , يضب
دفأ , يدفئني
وبأ , إيباء
أشب , وأشوب
نوأ , ينوء
ربب , وربابته
صوب , صوبك
شيأ , شاء
شبب , يشبها
